20:50:04,7ef9fc4f5828,gridexperiment_bill_1,25.75,95.05MiB,8.301GiB,1.12,3.36kB,818B,0B,0B,3
20:50:07,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.97MiB,8.301GiB,1.12,3.69kB,860B,0B,0B,3
20:50:10,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.97MiB,8.301GiB,1.12,3.69kB,860B,0B,0B,3
20:50:13,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.97MiB,8.301GiB,1.12,3.76kB,860B,0B,0B,3
20:50:16,7ef9fc4f5828,gridexperiment_bill_1,0.03,94.93MiB,8.301GiB,1.12,3.96kB,860B,0B,0B,3
20:50:19,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.93MiB,8.301GiB,1.12,3.96kB,860B,0B,0B,3
20:50:22,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.71MiB,8.301GiB,1.11,3.96kB,860B,0B,0B,3
20:50:26,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.71MiB,8.301GiB,1.11,3.96kB,860B,0B,0B,3
20:50:29,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.71MiB,8.301GiB,1.11,4.03kB,860B,0B,0B,3
20:50:32,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.71MiB,8.301GiB,1.11,4.23kB,860B,0B,0B,3
20:50:35,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.71MiB,8.301GiB,1.11,4.23kB,860B,0B,0B,3
20:50:38,7ef9fc4f5828,gridexperiment_bill_1,0.03,94.31MiB,8.301GiB,1.11,4.23kB,860B,0B,0B,3
20:50:41,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.31MiB,8.301GiB,1.11,4.23kB,860B,0B,0B,3
20:50:44,7ef9fc4f5828,gridexperiment_bill_1,0.03,94.31MiB,8.301GiB,1.11,4.23kB,860B,0B,0B,3
20:50:47,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.31MiB,8.301GiB,1.11,4.23kB,860B,0B,0B,3
20:50:50,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.31MiB,8.301GiB,1.11,4.23kB,860B,0B,0B,3
20:50:53,7ef9fc4f5828,gridexperiment_bill_1,0.02,94.31MiB,8.301GiB,1.11,4.23kB,860B,0B,0B,3
